Country Code,nineteen,twenty
MDV,5.82,7.18
MEA,9.5968271053253,10.6343786054098
MEX,3.48,4.71
MHL,,
MIC,5.57517404215304,6.51537717898309
MKD,17.26,18.4
MLI,7.24,7.5
MLT,3.4,4.09
MMR,0.5,1.79
MNA,11.2144268587363,11.9045156747509
MNE,15.12,15.86
MNG,5.31,4.33
MNP,,
MOZ,3.19,3.39
MRT,10.13,10.66
MUS,6.36,7.11
MWI,5.56,5.99
MYS,3.31,4.55
NAC,3.88949185783606,8.4389468668727
NAM,19.75,20.35
NCL,15.45,16.52
NER,0.46,0.69
NGA,8.53,9.01
NIC,5.14,5.82
NLD,3.38,4.09
NOR,3.69,4.62
NPL,2.85,4.44
NRU,,
NZL,4.07,4.55
OED,5.39385384845985,7.37963718635683
OMN,1.84,4.97
OSS,9.16899432512886,10.4620267915104
PAK,3.98,4.65
PAN,4.74,10.23
PER,3.03,6.24
PHL,2.24,3.36
PLW,,
PNG,2.37,2.74
POL,3.28,3.55
PRE,5.79679672279942,6.20722696064245
PRI,8.3,11.17
PRK,2.62,2.81
PRT,6.46,7.2
PRY,6.6,7.61
PSE,25.34,27.35
PSS,2.67829524662537,3.10680538428914
PST,4.95838474891878,6.95768546258796
PYF,12.72,13.81
QAT,0.12,3.45
ROU,3.91,4.84
RUS,4.6,5.73
RWA,0.99,1.35
SAS,5.03648259157799,6.62507641718098
SAU,6.13,8.22
SDN,16.76,17.71
SEN,6.47,7.1
SGP,3.1,5.19
SLB,0.6,0.79
SLE,4.36,4.6
SLV,3.96,6.98
SMR,,
SOM,12.79,13.1
SRB,10.4,9.08
SSA,6.27682799648702,6.62907378161816
SSD,12.01,12.66
SSF,6.27682799648702,6.62907378161816
SST,8.64475496502825,9.98290077950529
STP,13.05,13.86
SUR,6.94,8.65
SVK,5.75,6.79
SVN,4.45,5.17
SWE,6.83,8.45
SWZ,22.24,23.4
SXM,,
SYC,,
SYR,8.16,9.03
TCA,,
TCD,1.91,2.26
TEA,3.95744770778883,4.41264564554665
TEC,6.79610619022392,7.57094637025737
TGO,3.6,4.05
THA,0.72,1.02
TJK,6.66,7.5
TKM,3.74,4.38
TLA,8.08681666529731,10.3796107321462
TLS,4.42,5.06
TMN,11.060775374394,11.7328728044933
TON,3.01,4.37
TSA,5.03648259157799,6.62507641718098
TSS,6.27682799648702,6.62907378161816
TTO,3.46,6.74
TUN,15.13,16.69
TUR,13.67,13.92
TUV,,
TZA,1.96,2.16
UGA,1.72,2.44
UKR,8.19,9.48
UMC,6.0736446711794,6.85018098220749
URY,9.35,12.67
USA,3.67,8.31
UZB,5.65,5.97
VCT,18.62,20.27
VEN,7.16,9.14
VGB,,
VIR,8.09,11.84
VNM,2.04,2.27
VUT,1.69,1.95
WLD,5.37256933431952,6.47128085605066
WSM,8.22,8.87
XKX,,
YEM,12.9,13.42
ZAF,28.47,28.74
ZMB,11.91,12.17
ZWE,5.02,5.73
